E_x	E_y	E_z
1.525819	3.063360	1.315789
1.413094	2.800167	1.283923
1.469142	3.025590	1.308240
1.489198	2.873561	1.443111
1.664846	2.815250	1.322770
1.558663	2.883037	1.502029
1.531263	2.778428	1.410409
1.579802	2.837147	1.405266
1.587858	2.830422	1.470514
1.569700	2.694314	1.376010
1.626653	2.606854	1.389341
1.523650	2.628867	1.452803
1.586268	2.586256	1.248721
1.648413	2.584901	1.505333
2.058587	1.884179	1.015365
2.118376	1.797349	0.942570
2.223129	1.722102	0.896517
2.127750	1.857788	0.731293
2.175266	1.766453	0.922556
2.248306	1.667578	0.906622
2.179668	1.516535	0.759875
2.284486	1.578363	0.742439
2.372999	1.587549	0.556978
2.451294	1.655010	0.610649
2.553950	1.503964	0.470298
2.391478	1.560451	0.571259
2.451412	1.571680	0.429239
2.602031	1.522351	0.578919
2.541708	1.547905	0.511903
2.569759	1.548946	0.545044
2.568938	1.543021	0.417048
2.677995	1.430275	0.539590
2.580466	1.366944	0.397265
2.543541	1.532665	0.324315
2.569904	1.325402	0.327466
2.427895	1.347971	0.409120
2.672485	1.500467	0.272874
2.611364	1.472221	0.254463
2.726614	1.544351	0.323365
2.612320	1.502335	0.188061
2.585753	1.445782	0.269976
2.574763	1.644007	0.399705
2.542162	1.566350	0.465748
2.641147	1.544024	0.324005
2.608663	1.587062	0.453919
2.586191	1.656048	0.363361
2.617446	1.613635	0.578275
2.444952	1.752110	0.458925
2.423785	1.610242	0.443745
2.478551	1.711790	0.450576
2.417210	1.860610	0.651041
2.422372	1.731361	0.560276
2.404703	1.681465	0.563576
2.201143	1.818754	0.664704
2.256331	1.938349	0.559062
2.147848	1.869346	0.765763
2.348038	1.850901	0.805627
2.182031	1.905637	0.829604
2.196274	1.833950	0.913627
2.212693	1.939050	0.872922
2.107636	2.039362	0.842946
1.981326	2.051659	1.013621
2.033453	2.059328	1.025291
1.740057	2.206479	0.878813
1.887717	2.069060	0.954032
1.963506	2.150055	1.118756
1.834967	2.252262	1.139791
1.704953	2.321684	1.137720
1.647927	2.244341	1.327327
1.792877	2.278673	1.227729
1.670519	2.487723	1.320699
1.693656	2.435046	1.346918
1.610098	2.367416	1.359269
1.596351	2.459543	1.402697
1.625320	2.420115	1.437255
1.393467	2.514376	1.488163
1.592982	2.246120	1.647762
1.484401	2.562274	1.440122
1.519601	2.414047	1.496226
1.598088	2.490659	1.582024
1.502879	2.552010	1.597428
1.450350	2.702891	1.599895
1.425737	2.607131	1.702767
1.489732	2.579805	1.547268
1.515675	2.447352	1.666283
1.331503	2.527797	1.676243
1.409546	2.561386	1.777990
1.419305	2.506432	1.732000
1.476820	2.425562	1.704573
1.444984	2.486120	1.760364
1.388375	2.506613	1.638978
1.410448	2.401730	1.536101
1.540897	2.405235	1.559304
1.274164	2.403754	1.521428
1.575451	2.508513	1.553551
1.640069	2.485767	1.562866
1.304647	2.561653	1.462712
1.391709	2.442654	1.727329
1.643899	2.382909	1.564181
1.630901	2.370819	1.513798
1.603270	2.281224	1.407312
1.604593	2.129815	1.425766
1.583195	2.143851	1.414172
