E_x	E_y	E_z
2.490376	1.802394	0.509769
2.490336	1.678766	0.532074
2.473284	1.736147	0.427644
2.515310	1.796310	0.499827
2.431798	1.735448	0.567184
2.358367	1.653629	0.546624
2.485106	1.750387	0.521669
2.452524	1.501604	0.636565
2.261648	1.693701	0.467393
2.292490	1.813596	0.517268
2.413028	1.728676	0.589120
2.390236	1.641642	0.629075
2.344861	1.626805	0.523277
2.491854	1.813007	0.530286
2.350491	1.730820	0.713257
2.402704	1.792907	0.635856
2.389327	1.746947	0.544959
2.363392	1.769314	0.615376
2.369988	1.832793	0.555886
2.369304	1.633728	0.631818
2.386694	1.864201	0.347045
2.514622	1.784646	0.648565
2.277273	1.846846	0.487650
2.305742	1.950222	0.553577
2.366076	1.877713	0.606294
2.358281	1.845626	0.750630
2.339895	1.839140	0.650446
2.424333	1.918895	0.620842
2.252883	1.958192	0.488269
2.358483	1.784938	0.570758
2.357605	1.871440	0.608553
2.451126	1.887189	0.559955
2.399541	1.948226	0.487570
2.369163	1.917451	0.558714
2.424647	1.859461	0.591857
2.305587	1.877742	0.501642
2.207649	2.002024	0.521781
2.238372	1.726799	0.538837
2.210555	2.017326	0.663969
2.255224	2.068983	0.663354
2.279509	1.718475	0.763048
2.196678	1.788409	0.669442
2.480890	2.021521	0.636580
2.339516	1.987597	0.652761
2.312987	1.937299	0.592716
2.232328	1.914329	0.472025
2.278466	1.867134	0.517829
2.296288	2.051580	0.671090
2.161952	1.878860	0.674407
2.202986	1.942140	0.646752
2.200968	1.972797	0.507111
2.225402	1.994785	0.489368
2.300440	1.975238	0.651975
2.281087	2.084931	0.621641
2.228967	1.997704	0.654722
2.261706	1.997487	0.563067
2.205182	1.895158	0.748692
2.158458	1.954297	0.565365
2.315706	1.990055	0.714613
2.194903	2.039011	0.560183
2.403120	1.934927	0.647887
2.286577	2.060940	0.612586
2.226106	2.039099	0.617304
2.304924	2.207509	0.588378
2.126680	2.041003	0.825544
2.165911	2.176460	0.759784
